"","Rank","RatingTomatometer","Title","No. of Reviews"
"1",1,"100%","Toy Story 2 (1999)",163
"2",2,"98%","Snow White and the Seven Dwarfs (1937)",43
"3",3,"99%","Toy Story 3 (2010)",280
"4",4,"98%","Up (2009)",280
"5",5,"99%","Finding Nemo (2003)",238
"6",6,"100%","Pinocchio (1940)",41
"7",7,"100%","Toy Story (1995)",78
"8",8,"96%","WALL-E (2008)",243
"9",9,"96%","The LEGO Movie (2014)",221
"10",10,"98%","How to Train Your Dragon (2010)",200
"11",11,"97%","The Incredibles (2004)",231
"12",12,"96%","Ratatouille (2007)",230
"13",13,"98%","101 Dalmatians (1961)",45
"14",14,"96%","Fantasia (1940)",50
"15",15,"98%","Who Framed Roger Rabbit (1988)",60
"16",16,"97%","The Iron Giant (1999)",130
"17",17,"97%","Chicken Run (2000)",165
"18",18,"97%","Spirited Away (2001)",177
"19",19,"96%","Monsters, Inc. (2001)",192
"20",20,"96%","Waltz with Bashir (2008)",144
"21",21,"96%","Persepolis (2007)",153
"22",22,"95%","Wallace & Gromit: The Curse of the Were-Rabbit (2005)",176
"23",23,"96%","Yellow Submarine (1968)",47
"24",24,"94%","The Nightmare Before Christmas (1993)",88
"25",25,"95%","Antz (1998)",88
"26",26,"95%","The Secret World of Arrietty (2012)",139
"27",27,"98%","Song Of The Sea (2014)",57
"28",28,"97%","Ernest & CÃ©lestine (2014)",75
"29",29,"92%","Fantastic Mr. Fox (2009)",224
"30",30,"94%","Aladdin (1992)",66
"31",31,"91%","Bambi (1942)",46
"32",32,"90%","Coraline (2009)",256
"33",33,"92%","How to Train Your Dragon 2 (2014)",159
"34",34,"94%","The Triplets of Belleville (2003)",140
"35",35,"92%","The Little Mermaid (1989)",65
"36",36,"93%","James and the Giant Peach (1996)",72
"37",37,"89%","Frozen (2013)",214
"38",38,"92%","Ponyo (2009)",159
"39",39,"92%","A Bug's Life (1998)",84
"40",40,"92%","Princess Mononoke (1999)",105
"41",41,"90%","The Simpsons Movie (2007)",199
"42",42,"92%","Arthur Christmas (2011)",157
"43",43,"95%","Mary and Max (2009)",61
"44",44,"93%","My Neighbor Totoro (1988)",43
"45",45,"93%","Beauty and the Beast (2012)",103
"46",46,"90%","Tangled (2010)",215
"47",47,"89%","Big Hero 6 (2014)",186
"48",48,"89%","Bolt (2008)",178
"49",49,"89%","The Wind Rises (2014)",157
"50",50,"88%","Shrek 2 (2004)",232
"51",51,"88%","Rango (2011)",212
"52",52,"87%","Frankenweenie (2012)",198
"53",53,"87%","Kung Fu Panda (2008)",177
"54",54,"90%","Winnie the Pooh (2011)",126
"55",55,"87%","Shrek (2001)",190
"56",56,"92%","Millennium Actress (Sennen joyÃ») (2001)",51
"57",57,"90%","The Illusionist (L'illusionniste) (2010)",120
"58",58,"90%","The Lion King (2011)",110
"59",59,"91%","The Secret of Kells (2010)",79
"60",60,"87%","ParaNorman (2012)",163
"61",61,"88%","Tarzan (1999)",104
"62",62,"87%","Howl's Moving Castle (2005)",172
"63",63,"91%","Tokyo Godfathers (2003)",64
"64",64,"91%","My Dog Tulip (2010)",57
"65",65,"86%","Wreck-it Ralph (2012)",168
"66",66,"87%","Cloudy With a Chance of Meatballs (2009)",139
"67",67,"86%","The Pirates! Band of Misfits (2012)",144
"68",68,"85%","The Princess and the Frog (2009)",184
"69",69,"86%","Mulan (1998)",73
"70",70,"86%","Lilo & Stitch (2002)",145
"71",71,"85%","The Emperor's New Groove (2000)",127
"72",72,"83%","Tim Burton's Corpse Bride (2005)",187
"73",73,"86%","Anastasia (1997)",51
"74",74,"87%","Metropolis (2002)",60
"75",75,"84%","Puss in Boots (2011)",142
"76",76,"87%","Akira (2001)",45
"77",77,"86%","Chico & Rita (2012)",65
"78",78,"84%","Paprika (2006)",85
"79",79,"81%","Despicable Me (2010)",192
"80",80,"83%","Hercules (1997)",52
"81",81,"78%","Brave (2012)",225
"82",82,"81%","Kung Fu Panda 2 (2011)",167
"83",83,"83%","From Up On Poppy Hill (2013)",84
"84",84,"82%","The Book of Life (2014)",106
"85",85,"84%","Panique au village (A Town Called Panic) (2009)",67
"86",86,"81%","South Park: Bigger, Longer & Uncut (1999)",94
"87",87,"78%","Monsters University (2013)",182
"88",88,"82%","Fantasia 2000 (2000)",82
"89",89,"80%","Waking Life (2001)",141
"90",90,"79%","The Prince of Egypt (1998)",84
"91",91,"82%","A Cat in Paris (2012)",61
"92",92,"79%","Dr. Seuss' Horton Hears a Who! (2008)",131
"93",93,"79%","Madagascar 3: Europe's Most Wanted (2012)",129
"94",94,"79%","Mr. Peabody & Sherman (2014)",120
"95",95,"80%","Chicago 10 (2008)",82
"96",96,"78%","Charlotte's Web (2006)",143
"97",97,"78%","Surf's Up (2007)",143
"98",98,"80%","The Wild Thornberrys Movie (2002)",88
"99",99,"78%","The SpongeBob Movie: Sponge Out of Water (2015)",87
"100",100,"77%","Ice Age (2002)",164
